Small dictionary from THU, with frequency data.
白山黑水,FREQ:367;
沧海横流,FREQ:367;
衣冠楚楚,FREQ:367;
火烧眉毛,FREQ:367;
弄假成真,FREQ:367;
痴心妄想,FREQ:366;
满园春色,FREQ:366;
真命天子,FREQ:366;
渔翁之利,FREQ:366;
兵不血刃,FREQ:366;
无米之炊,FREQ:366;
查无实据,FREQ:365;
伤风败俗,FREQ:365;
狐朋狗友,FREQ:365;
满腹牢骚,FREQ:365;
鸡犬不宁,FREQ:365;
锦囊妙计,FREQ:365;
未老先衰,FREQ:365;
狐狸尾巴,FREQ:365;
一石二鸟,FREQ:365;
自我解嘲,FREQ:364;
喝西北风,FREQ:364;
搔首弄姿,FREQ:364;
大费周折,FREQ:363;
不预则废,FREQ:363;
百密一疏,FREQ:363;
大动肝火,FREQ:363;
浩然之气,FREQ:362;
死无对证,FREQ:362;
为虎作伥,FREQ:362;
千秋万代,FREQ:362;
精诚所至,FREQ:362;
时来运转,FREQ:362;
初露锋芒,FREQ:362;
血迹斑斑,FREQ:362;
家财万贯,FREQ:361;
民脂民膏,FREQ:361;
待字闺中,FREQ:360;
无则加勉,FREQ:360;
反戈一击,FREQ:359;
溘然长逝,FREQ:359;
邪不压正,FREQ:359;
唱对台戏,FREQ:359;
寻欢作乐,FREQ:359;
止于至善,FREQ:358;
形形色色,FREQ:358;
永无宁日,FREQ:358;
树碑立传,FREQ:357;
鼎鼎有名,FREQ:357;
岂有此理,FREQ:356;
除暴安良,FREQ:356;
自鸣得意,FREQ:356;
落英缤纷,FREQ:356;
差之毫厘,FREQ:356;
百无禁忌,FREQ:356;
宽以待人,FREQ:356;
醉生梦死,FREQ:355;
风流倜傥,FREQ:355;
见风使舵,FREQ:355;
不见天日,FREQ:354;
抖擞精神,FREQ:354;
悠闲自在,FREQ:354;
颠三倒四,FREQ:353;
盖棺论定,FREQ:353;
烂醉如泥,FREQ:353;
口不择言,FREQ:353;
安危与共,FREQ:352;
两厢情愿,FREQ:352;
大开大合,FREQ:351;
刺刀见红,FREQ:351;
忠言逆耳,FREQ:351;
金石为开,FREQ:351;
临阵磨枪,FREQ:351;
悬崖绝壁,FREQ:351;
拔刀相助,FREQ:350;
孤陋寡闻,FREQ:350;
百炼成钢,FREQ:350;
抓耳挠腮,FREQ:350;
难解难分,FREQ:350;
一声不响,FREQ:350;
温故知新,FREQ:350;
屏气凝神,FREQ:349;
字字珠玑,FREQ:349;
千恩万谢,FREQ:349;
花红柳绿,FREQ:349;
鞭辟入里,FREQ:348;
繁荣兴旺,FREQ:348;
疾恶如仇,FREQ:348;
披麻戴孝,FREQ:347;
聪明智慧,FREQ:347;
师道尊严,FREQ:347;
大做文章,FREQ:347;
等闲之辈,FREQ:347;
风行一时,FREQ:346;
奇珍异宝,FREQ:346;
欲壑难填,FREQ:346;
狡兔三窟,FREQ:346;
木已成舟,FREQ:345;
粮草先行,FREQ:345;
自寻短见,FREQ:344;
推崇备至,FREQ:344;
招财进宝,FREQ:344;
孤军作战,FREQ:343;
卓有成就,FREQ:343;
虚虚实实,FREQ:343;
害人不浅,FREQ:343;
足智多谋,FREQ:343;
祸从天降,FREQ:342;
青天白日,FREQ:342;
问长问短,FREQ:341;
全民皆兵,FREQ:341;
避人耳目,FREQ:341;
赏罚分明,FREQ:341;
逼上梁山,FREQ:341;
纨绔子弟,FREQ:341;
不分伯仲,FREQ:340;
一语不发,FREQ:340;
庸人自扰,FREQ:340;
小家碧玉,FREQ:340;
十里洋场,FREQ:340;
不知怎的,FREQ:340;
赤胆忠心,FREQ:340;
官运亨通,FREQ:340;
满腹经纶,FREQ:340;
洁身自爱,FREQ:340;
知人善任,FREQ:340;
盛名之下,FREQ:339;
掩鼻而过,FREQ:339;
卑躬屈膝,FREQ:339;
讲信修睦,FREQ:339;
深山密林,FREQ:339;
空洞无物,FREQ:338;
绵绵不绝,FREQ:338;
壮志未酬,FREQ:337;
左支右绌,FREQ:337;
请君入瓮,FREQ:337;
眼观六路,FREQ:337;
功败垂成,FREQ:337;
兴利除弊,FREQ:337;
过河拆桥,FREQ:337;
含情脉脉,FREQ:336;
怅然若失,FREQ:336;
忧心如焚,FREQ:336;
急起直追,FREQ:336;
玲珑剔透,FREQ:336;
神魂颠倒,FREQ:336;
名闻遐迩,FREQ:335;
女扮男装,FREQ:335;
得道多助,FREQ:335;
甘之如饴,FREQ:334;
相视而笑,FREQ:334;
臭味相投,FREQ:334;
鼓乐齐鸣,FREQ:334;
狂妄自大,FREQ:334;
高出一筹,FREQ:334;
丑态百出,FREQ:334;
苦心孤诣,FREQ:333;
凡夫俗子,FREQ:333;
破绽百出,FREQ:333;
真心真意,FREQ:333;
只此一家,FREQ:333;
祸从口出,FREQ:333;
探头探脑,FREQ:333;
以弱胜强,FREQ:332;
身体发肤,FREQ:332;
九天揽月,FREQ:332;
缠绵悱恻,FREQ:331;
月黑风高,FREQ:331;
历尽沧桑,FREQ:331;
缺衣少食,FREQ:331;
飞蛾扑火,FREQ:331;
普天之下,FREQ:331;
溃于蚁穴,FREQ:330;
十拿九稳,FREQ:330;
山高水长,FREQ:330;
与人方便,FREQ:330;
欢喜冤家,FREQ:330;
如泣如诉,FREQ:330;
千古绝唱,FREQ:329;
恬不知耻,FREQ:329;
一分一毫,FREQ:329;
杨柳依依,FREQ:329;
落日余晖,FREQ:328;
满面春风,FREQ:328;
下情上达,FREQ:328;
鞍前马后,FREQ:328;
飞沙走石,FREQ:327;
养痈遗患,FREQ:327;
大而无当,FREQ:327;
面目狰狞,FREQ:327;
长吁短叹,FREQ:327;
浪迹天涯,FREQ:327;
振臂一呼,FREQ:327;
逼不得已,FREQ:326;
夜不闭户,FREQ:326;
蝇营狗苟,FREQ:326;
自我表现,FREQ:326;
悬崖峭壁,FREQ:325;
下自成蹊,FREQ:325;
坚强不屈,FREQ:324;
洋洋自得,FREQ:324;
蛮横无理,FREQ:324;
睹物思人,FREQ:324;
明日黄花,FREQ:324;
另谋高就,FREQ:324;
迂回曲折,FREQ:324;
四海一家,FREQ:324;
百年难遇,FREQ:324;
怵目惊心,FREQ:324;
鸟枪换炮,FREQ:324;
杀气腾腾,FREQ:323;
摇摇摆摆,FREQ:323;
万全之策,FREQ:322;
夙兴夜寐,FREQ:322;
顽固不化,FREQ:322;
离心离德,FREQ:321;
恍若隔世,FREQ:321;
逢凶化吉,FREQ:321;
威风八面,FREQ:321;
作威作福,FREQ:321;
巾帼英雄,FREQ:321;
以暴易暴,FREQ:320;
前人栽树,FREQ:320;
东拉西扯,FREQ:320;
衣来伸手,FREQ:320;
师出无名,FREQ:320;
成人之美,FREQ:320;
满盘皆输,FREQ:320;
桃红柳绿,FREQ:319;
寸土必争,FREQ:319;
随声附和,FREQ:319;
秀色可餐,FREQ:319;
先礼后兵,FREQ:319;
信马由缰,FREQ:318;
万箭穿心,FREQ:318;
浩气长存,FREQ:317;
桃李不言,FREQ:317;
精妙绝伦,FREQ:317;
成王败寇,FREQ:317;
欺人太甚,FREQ:316;
楚河汉界,FREQ:316;
不留余地,FREQ:316;
姑息养奸,FREQ:316;
耳提面命,FREQ:316;
戎马生涯,FREQ:316;
兵马未动,FREQ:316;
孤掌难鸣,FREQ:316;
聪明能干,FREQ:316;
仰面朝天,FREQ:316;
贫病交加,FREQ:316;
以德服人,FREQ:315;
鸡犬相闻,FREQ:315;
阴谋诡计,FREQ:315;
明修栈道,FREQ:315;
替天行道,FREQ:315;
毫无二致,FREQ:314;
朝三暮四,FREQ:314;
不求上进,FREQ:314;
暴殄天物,FREQ:314;
古木参天,FREQ:314;
取之不竭,FREQ:313;
拱手让人,FREQ:313;
蜂拥而出,FREQ:312;
巴山蜀水,FREQ:312;
冰清玉洁,FREQ:312;
天下大乱,FREQ:312;
山盟海誓,FREQ:312;
出口成章,FREQ:311;
七七八八,FREQ:311;
书香世家,FREQ:311;
淡然处之,FREQ:311;
保存实力,FREQ:311;
自命不凡,FREQ:310;
衣不蔽体,FREQ:310;
有所顾忌,FREQ:310;
闭口不言,FREQ:310;
立此存照,FREQ:310;
不疾不徐,FREQ:310;
反咬一口,FREQ:309;
笨手笨脚,FREQ:309;
窈窕淑女,FREQ:309;
稍逊一筹,FREQ:309;
金鸡独立,FREQ:309;
能文能武,FREQ:309;
客死他乡,FREQ:308;
天崩地裂,FREQ:307;
年幼无知,FREQ:306;
吊儿郎当,FREQ:306;
善有善报,FREQ:306;
刚愎自用,FREQ:306;
南腔北调,FREQ:306;
人以群分,FREQ:306;
好自为之,FREQ:306;
有来有往,FREQ:306;
命丧黄泉,FREQ:306;
铁石心肠,FREQ:306;
今生今世,FREQ:306;
人非圣贤,FREQ:305;
尖酸刻薄,FREQ:304;
落花流水,FREQ:304;
耳听八方,FREQ:304;
喜不自胜,FREQ:304;
望文生义,FREQ:304;
情意绵绵,FREQ:304;
遇水架桥,FREQ:303;
包办代替,FREQ:303;
逢场作戏,FREQ:303;
旁观者清,FREQ:303;
面目可憎,FREQ:303;
小鸟依人,FREQ:303;
缄口不言,FREQ:303;
畏缩不前,FREQ:303;
胸怀大志,FREQ:302;
一决胜负,FREQ:302;
一叶知秋,FREQ:302;
互为表里,FREQ:302;
井底之蛙,FREQ:302;
装神弄鬼,FREQ:302;
物以类聚,FREQ:302;
风轻云淡,FREQ:301;
鸡飞蛋打,FREQ:301;
无往不胜,FREQ:301;
因陋就简,FREQ:301;
败兴而归,FREQ:301;
魂不守舍,FREQ:300;
媒妁之言,FREQ:300;
功德圆满,FREQ:300;
略逊一筹,FREQ:299;
乘其不备,FREQ:299;
良辰美景,FREQ:299;
以眼还眼,FREQ:299;
不乏先例,FREQ:298;
紫气东来,FREQ:298;
宽宏大量,FREQ:298;
风华绝代,FREQ:298;
口传心授,FREQ:298;
杯弓蛇影,FREQ:298;
恶语相加,FREQ:298;
如醉如痴,FREQ:297;
适逢其时,FREQ:297;
三番两次,FREQ:297;
不上不下,FREQ:297;
低声下气,FREQ:296;
火上加油,FREQ:296;
日薄西山,FREQ:295;
目空一切,FREQ:295;
项庄舞剑,FREQ:294;
倩女幽魂,FREQ:294;
泥牛入海,FREQ:294;
心高气傲,FREQ:294;
降格以求,FREQ:294;
唇亡齿寒,FREQ:294;
难以名状,FREQ:294;
香消玉殒,FREQ:294;
富国强兵,FREQ:294;
爱屋及乌,FREQ:293;
不求甚解,FREQ:293;
屈打成招,FREQ:293;
拔刀相向,FREQ:293;
称王称霸,FREQ:293;
独步天下,FREQ:292;
门户之见,FREQ:292;
名山大川,FREQ:292;
自掘坟墓,FREQ:292;
志得意满,FREQ:292;
半真半假,FREQ:292;
分化瓦解,FREQ:291;
人微言轻,FREQ:291;
一星半点,FREQ:290;
不识时务,FREQ:290;
心腹之患,FREQ:290;
才貌双全,FREQ:289;
天下无敌,FREQ:289;
穷奢极欲,FREQ:289;
有色眼镜,FREQ:288;
少不更事,FREQ:288;
外强中干,FREQ:288;
身首异处,FREQ:288;
冷若冰霜,FREQ:288;
一人得道,FREQ:288;
独木难支,FREQ:288;
忘战必危,FREQ:287;
旁门左道,FREQ:287;
贩夫走卒,FREQ:287;
学无止境,FREQ:287;
口齿伶俐,FREQ:287;
二龙戏珠,FREQ:287;
坐井观天,FREQ:287;
说风凉话,FREQ:286;
喜从天降,FREQ:286;
同室操戈,FREQ:286;
鱼跃龙门,FREQ:286;
话里有话,FREQ:286;
不甚了了,FREQ:285;
力透纸背,FREQ:285;
聊以自慰,FREQ:285;
反求诸己,FREQ:285;
完好无缺,FREQ:285;
调虎离山,FREQ:284;
血肉横飞,FREQ:284;
开卷有益,FREQ:283;
欲加之罪,FREQ:283;
门户开放,FREQ:283;
正气凛然,FREQ:283;
偏安一隅,FREQ:282;
水能载舟,FREQ:282;
解甲归田,FREQ:282;
覆水难收,FREQ:281;
七拼八凑,FREQ:281;
酗酒滋事,FREQ:280;
拈花惹草,FREQ:280;
吃里扒外,FREQ:279;
杂乱无序,FREQ:279;
明火执仗,FREQ:279;
天下一家,FREQ:279;
皇亲国戚,FREQ:279;
俯拾即是,FREQ:279;
广种薄收,FREQ:279;
不自量力,FREQ:278;
告老还乡,FREQ:278;
声如洪钟,FREQ:278;
词不达意,FREQ:278;
听而不闻,FREQ:278;
予取予求,FREQ:277;
豆蔻年华,FREQ:277;
因果报应,FREQ:277;
痛快淋漓,FREQ:277;
放虎归山,FREQ:276;
有福同享,FREQ:276;
风俗人情,FREQ:276;
特立独行,FREQ:275;
同床共枕,FREQ:275;
一拥而入,FREQ:275;
养兵千日,FREQ:275;
妙笔生花,FREQ:275;
苦大仇深,FREQ:274;
出以公心,FREQ:274;
路不拾遗,FREQ:274;
过眼烟云,FREQ:274;
功夫之王,FREQ:274;
手足之情,FREQ:274;
满腹狐疑,FREQ:274;
本乡本土,FREQ:273;
声色俱厉,FREQ:273;
家道中落,FREQ:273;
面授机宜,FREQ:273;
物竞天择,FREQ:272;
探囊取物,FREQ:272;
病魔缠身,FREQ:272;
强颜欢笑,FREQ:272;
正人君子,FREQ:272;
人神共愤,FREQ:272;
不知下落,FREQ:271;
惠风和畅,FREQ:271;
暮气沉沉,FREQ:271;
化敌为友,FREQ:271;
轻言细语,FREQ:271;
决一死战,FREQ:271;
毫不介意,FREQ:270;
梳妆打扮,FREQ:270;
安然无事,FREQ:270;
否极泰来,FREQ:270;
尸横遍野,FREQ:270;
楚楚可怜,FREQ:270;
春色满园,FREQ:269;
一表人才,FREQ:269;
谬以千里,FREQ:269;
自讨没趣,FREQ:269;
旭日东升,FREQ:269;
弹无虚发,FREQ:269;
回天无力,FREQ:268;
克勤克俭,FREQ:268;
来日方长,FREQ:268;
骨肉相连,FREQ:268;
公正无私,FREQ:268;
伯仲之间,FREQ:268;
恶有恶报,FREQ:267;
光芒万丈,FREQ:267;
呆若木鸡,FREQ:267;
博学多才,FREQ:266;
黯淡无光,FREQ:266;
挤眉弄眼,FREQ:266;
顺水人情,FREQ:266;
横生枝节,FREQ:266;
妻儿老小,FREQ:266;
愚昧无知,FREQ:266;
锦绣前程,FREQ:266;
臭名远扬,FREQ:266;
见机行事,FREQ:265;
疾风暴雨,FREQ:265;
少年老成,FREQ:265;
南橘北枳,FREQ:265;
千斤重担,FREQ:265;
兵来将挡,FREQ:265;
五大三粗,FREQ:264;
闭关自守,FREQ:264;
清规戒律,FREQ:264;
俭以养德,FREQ:264;
横平竖直,FREQ:264;
时移世易,FREQ:264;
仗势欺人,FREQ:264;
有言在先,FREQ:263;
患难夫妻,FREQ:263;
改换门庭,FREQ:262;
全盘托出,FREQ:262;
壮志凌云,FREQ:262;
玩火自焚,FREQ:262;
戴罪立功,FREQ:262;
以礼相待,FREQ:262;
掐头去尾,FREQ:261;
至死不渝,FREQ:261;
无所不有,FREQ:261;
与虎谋皮,FREQ:261;
国家栋梁,FREQ:261;
密锣紧鼓,FREQ:260;
取信于人,FREQ:260;
安贫乐道,FREQ:260;
唠唠叨叨,FREQ:259;
患难之交,FREQ:259;
刀下留人,FREQ:259;
云蒸霞蔚,FREQ:259;
破罐破摔,FREQ:259;
牛鬼蛇神,FREQ:258;
劳苦功高,FREQ:258;
以卵击石,FREQ:258;
兵强马壮,FREQ:258;
有案可查,FREQ:258;
先公后私,FREQ:258;
过江之鲫,FREQ:258;
膘肥体壮,FREQ:258;
默默无语,FREQ:258;
收回成命,FREQ:257;
有棱有角,FREQ:257;
回光返照,FREQ:257;
空口无凭,FREQ:257;
枯枝败叶,FREQ:257;
孰能无过,FREQ:257;
高高挂起,FREQ:257;
横行无忌,FREQ:256;
谷贱伤农,FREQ:256;
君子之交,FREQ:256;
碧水青山,FREQ:255;
握手言欢,FREQ:255;
自求多福,FREQ:255;
无所不知,FREQ:255;
刚直不阿,FREQ:255;
出人意外,FREQ:255;
唯命是从,FREQ:254;
不可捉摸,FREQ:254;
没精打采,FREQ:254;
关门闭户,FREQ:254;
三男两女,FREQ:254;
冤冤相报,FREQ:254;
决胜千里,FREQ:254;
离群索居,FREQ:254;
江湖骗子,FREQ:254;
城门失火,FREQ:253;
不言不语,FREQ:253;
弊绝风清,FREQ:253;
大智大勇,FREQ:252;
低三下四,FREQ:252;
自成一家,FREQ:252;
应付自如,FREQ:252;
不咸不淡,FREQ:251;
直上直下,FREQ:251;
以文会友,FREQ:251;
势不可当,FREQ:251;
失道寡助,FREQ:251;
礼崩乐坏,FREQ:251;
寝食不安,FREQ:250;
九五之尊,FREQ:250;
自成一格,FREQ:250;
除旧布新,FREQ:249;
怜香惜玉,FREQ:249;
三人成虎,FREQ:249;
振振有辞,FREQ:249;
鹬蚌相争,FREQ:249;
偷天换日,FREQ:249;
同心合力,FREQ:249;
不共戴天,FREQ:248;
目光炯炯,FREQ:248;
洁白无瑕,FREQ:248;
言为心声,FREQ:248;
鸣锣开道,FREQ:248;
雄才大略,FREQ:248;
不干不净,FREQ:247;
旧话重提,FREQ:246;
晨钟暮鼓,FREQ:246;
时不再来,FREQ:246;
倾国倾城,FREQ:246;
如花似玉,FREQ:246;
小脚女人,FREQ:246;
爱惜羽毛,FREQ:246;
茂林修竹,FREQ:246;
百步穿杨,FREQ:245;
五毒俱全,FREQ:245;
踌躇不前,FREQ:245;
未卜先知,FREQ:245;
含苞欲放,FREQ:245;
百思不解,FREQ:245;
咫尺天涯,FREQ:245;
满面红光,FREQ:244;
倾囊相助,FREQ:244;
排除异己,FREQ:244;
志在四方,FREQ:244;
才华出众,FREQ:243;
独揽大权,FREQ:243;
一定之规,FREQ:243;
垂帘听政,FREQ:243;
以逸待劳,FREQ:243;
脚不沾地,FREQ:243;
安家立业,FREQ:243;
后生可畏,FREQ:242;
神情自若,FREQ:242;
天理难容,FREQ:242;
半梦半醒,FREQ:242;
自卖自夸,FREQ:242;
万籁俱寂,FREQ:241;
于心何忍,FREQ:241;
徒劳无益,FREQ:241;
邯郸学步,FREQ:240;
自食恶果,FREQ:240;
大彻大悟,FREQ:240;
能工巧匠,FREQ:240;
无可估量,FREQ:240;
轻装前进,FREQ:239;
四海为家,FREQ:239;
相生相克,FREQ:239;
居功自傲,FREQ:239;
青出于蓝,FREQ:239;
今不如昔,FREQ:239;
意在沛公,FREQ:238;
有口难辩,FREQ:238;
指桑骂槐,FREQ:238;
养虎为患,FREQ:238;
言归正传,FREQ:237;
三寸金莲,FREQ:237;
格物致知,FREQ:237;
时运不济,FREQ:237;
心神不定,FREQ:237;
水火无情,FREQ:237;
似水流年,FREQ:237;
男耕女织,FREQ:237;
望梅止渴,FREQ:236;
羊肠小道,FREQ:236;
自寻烦恼,FREQ:236;
蜕化变质,FREQ:236;
劳师动众,FREQ:236;
接风洗尘,FREQ:236;
拈轻怕重,FREQ:236;
秀外慧中,FREQ:236;
自不量力,FREQ:235;
说来话长,FREQ:235;
风卷残云,FREQ:235;
敢作敢当,FREQ:234;
穷山恶水,FREQ:234;
龙争虎斗,FREQ:234;
拼死拼活,FREQ:234;
百折不回,FREQ:234;
傲然挺立,FREQ:234;
学富五车,FREQ:234;
俗不可耐,FREQ:234;
流水不腐,FREQ:234;
民生凋敝,FREQ:233;
思绪万千,FREQ:233;
所向无敌,FREQ:232;
奔波劳碌,FREQ:232;
因人制宜,FREQ:232;
弹冠相庆,FREQ:232;
不以规矩,FREQ:232;
方寸之地,FREQ:232;
成年累月,FREQ:232;
群魔乱舞,FREQ:231;
钻木取火,FREQ:231;
壁垒森严,FREQ:231;
清心寡欲,FREQ:231;
下回分解,FREQ:231;
阴错阳差,FREQ:231;
仙风道骨,FREQ:231;
以身殉国,FREQ:231;
鼠目寸光,FREQ:230;
瞄准射击,FREQ:230;
逼良为娼,FREQ:230;
千回百转,FREQ:230;
凄风冷雨,FREQ:230;
益寿延年,FREQ:230;
又红又专,FREQ:230;
涸泽而渔,FREQ:230;
目光如炬,FREQ:229;
处之泰然,FREQ:229;
五花大绑,FREQ:229;
针头线脑,FREQ:229;
一张一弛,FREQ:229;
至善至美,FREQ:229;
绵里藏针,FREQ:229;
不越雷池,FREQ:228;
手眼通天,FREQ:228;
愁云惨雾,FREQ:228;
不绝如缕,FREQ:227;
一钱不值,FREQ:227;
心慌意乱,FREQ:227;
贪生怕死,FREQ:227;
庖丁解牛,FREQ:226;
苦难深重,FREQ:226;
狼烟四起,FREQ:226;
亦庄亦谐,FREQ:226;
点头哈腰,FREQ:225;
鉴往知来,FREQ:224;
狰狞面目,FREQ:224;
女娲补天,FREQ:224;
春去秋来,FREQ:224;
少见多怪,FREQ:224;
早知今日,FREQ:224;
吃里爬外,FREQ:223;
富贵吉祥,FREQ:223;
惜墨如金,FREQ:223;
南郭先生,FREQ:223;
不懂装懂,FREQ:223;
鼓乐喧天,FREQ:223;
广袤无垠,FREQ:223;
照猫画虎,FREQ:223;
永志不忘,FREQ:223;
光阴似箭,FREQ:222;
鸣冤叫屈,FREQ:222;
青史留名,FREQ:222;
自视甚高,FREQ:222;
是非分明,FREQ:222;
破除迷信,FREQ:222;
山重水复,FREQ:222;
择善而从,FREQ:221;
州官放火,FREQ:221;
眼明手快,FREQ:221;
志在千里,FREQ:221;
酒酣耳热,FREQ:221;
遗臭万年,FREQ:221;
不祥之兆,FREQ:220;
东挪西凑,FREQ:220;
风雨如晦,FREQ:220;
摇头摆尾,FREQ:220;
泼妇骂街,FREQ:220;
必有近忧,FREQ:220;
风雨不改,FREQ:220;
不可胜数,FREQ:219;
局促不安,FREQ:219;
仪表堂堂,FREQ:219;
欺软怕硬,FREQ:219;
趋炎附势,FREQ:218;
狗血淋头,FREQ:218;
与时偕行,FREQ:218;
飘飘欲仙,FREQ:218;
偷偷摸摸,FREQ:218;
一夫当关,FREQ:218;
鹤发童颜,FREQ:217;
大地回春,FREQ:217;
沸反盈天,FREQ:217;
事不过三,FREQ:217;
开疆辟土,FREQ:217;
有条有理,FREQ:217;
悔恨交加,FREQ:217;
牛刀小试,FREQ:217;
洞若观火,FREQ:216;
一决雌雄,FREQ:216;
种瓜得瓜,FREQ:216;
玉树临风,FREQ:216;
封疆大吏,FREQ:216;
毫不利己,FREQ:216;
出乎意外,FREQ:216;
伯乐相马,FREQ:216;
一息尚存,FREQ:215;
云开雾散,FREQ:215;
珍禽异兽,FREQ:215;
比肩而立,FREQ:215;
精明强干,FREQ:215;
心如止水,FREQ:215;
大智若愚,FREQ:214;
仁义道德,FREQ:214;
洋洋洒洒,FREQ:214;
锦绣河山,FREQ:214;
东西南北,FREQ:214;
棒打鸳鸯,FREQ:214;
两小无猜,FREQ:214;
做小动作,FREQ:213;
金风送爽,FREQ:213;
冤家路窄,FREQ:213;
情景交融,FREQ:213;
左邻右里,FREQ:212;
软弱无能,FREQ:212;
耍嘴皮子,FREQ:212;
缘木求鱼,FREQ:212;
仁者乐山,FREQ:212;
手不释卷,FREQ:212;
格杀勿论,FREQ:212;
莫逆之交,FREQ:212;
等米下锅,FREQ:212;
变化无穷,FREQ:211;
宝刀未老,FREQ:211;
别无他物,FREQ:211;
杀身之祸,FREQ:211;
苟且偷生,FREQ:211;
寥若晨星,FREQ:211;
无往不利,FREQ:210;
庸庸碌碌,FREQ:210;
心猿意马,FREQ:210;
大呼小叫,FREQ:210;
人同此心,FREQ:210;
河东狮吼,FREQ:210;
大模大样,FREQ:210;
专横跋扈,FREQ:210;
淡泊明志,FREQ:210;
人各有志,FREQ:210;
动荡不定,FREQ:210;
气贯长虹,FREQ:210;
以人为镜,FREQ:210;
众星拱月,FREQ:209;
嫁祸于人,FREQ:209;
对牛弹琴,FREQ:209;
寻死觅活,FREQ:209;
难分难解,FREQ:209;
地老天荒,FREQ:209;
飞针走线,FREQ:209;
好勇斗狠,FREQ:209;
头痛脑热,FREQ:208;
黄粱一梦,FREQ:208;
国破家亡,FREQ:208;
横眉冷对,FREQ:208;
一时一刻,FREQ:208;
积土成山,FREQ:208;
泰山压顶,FREQ:208;
塞翁失马,FREQ:208;
惊恐万状,FREQ:207;
勤能补拙,FREQ:207;
玉石俱焚,FREQ:207;
临阵退缩,FREQ:207;
有胆有识,FREQ:207;
晓以利害,FREQ:207;
宾客盈门,FREQ:207;
断绝往来,FREQ:207;
党同伐异,FREQ:207;
吃穿用度,FREQ:207;
分进合击,FREQ:207;
高山峻岭,FREQ:206;
味同嚼蜡,FREQ:206;
五洲四海,FREQ:206;
内查外调,FREQ:206;
天下无双,FREQ:205;
人而无信,FREQ:205;
老气横秋,FREQ:205;
文弱书生,FREQ:205;
女中豪杰,FREQ:205;
不容分说,FREQ:205;
变幻无常,FREQ:205;
炮火连天,FREQ:205;
人无远虑,FREQ:205;
遇人不淑,FREQ:204;
破铜烂铁,FREQ:204;
代人受过,FREQ:204;
宝刀不老,FREQ:204;
瓮中之鳖,FREQ:204;
蓬蓬勃勃,FREQ:203;
平铺直叙,FREQ:203;
鹦鹉学舌,FREQ:203;
生死之交,FREQ:203;
水来土掩,FREQ:203;
评头品足,FREQ:203;
金玉良言,FREQ:203;
孔孟之道,FREQ:203;
刻苦耐劳,FREQ:202;
寿比南山,FREQ:202;
君子协定,FREQ:202;
青云直上,FREQ:202;
白日做梦,FREQ:201;
口服心服,FREQ:201;
闻风而至,FREQ:201;
梁上君子,FREQ:201;
上下同欲,FREQ:201;
不打自招,FREQ:201;
朝野上下,FREQ:200;
天造地设,FREQ:200;
文武兼备,FREQ:200;
报仇雪恨,FREQ:200;
事业有成,FREQ:200;
残羹剩饭,FREQ:200;
福禄寿喜,FREQ:199;
锐不可当,FREQ:199;
悲喜交集,FREQ:199;
一脉相传,FREQ:199;
名闻天下,FREQ:198;
人不犯我,FREQ:198;
旧地重游,FREQ:198;
如芒在背,FREQ:198;
极乐世界,FREQ:198;
当局者迷,FREQ:198;
命在旦夕,FREQ:198;
亲仁善邻,FREQ:197;
插翅难逃,FREQ:197;
立锥之地,FREQ:197;
兵贵神速,FREQ:197;
三阳开泰,FREQ:197;
笨鸟先飞,FREQ:197;
棋逢对手,FREQ:197;
有凭有据,FREQ:196;
要死要活,FREQ:196;
傲慢无礼,FREQ:196;
逆耳之言,FREQ:196;
壁立千仞,FREQ:196;
郎才女貌,FREQ:196;
风韵犹存,FREQ:196;
单刀赴会,FREQ:196;
英雄豪杰,FREQ:195;
出人意表,FREQ:195;
诛心之论,FREQ:195;
流年不利,FREQ:195;
三省吾身,FREQ:195;
色胆包天,FREQ:194;
精神百倍,FREQ:194;
外柔内刚,FREQ:194;
比上不足,FREQ:194;
谈古论今,FREQ:194;
近朱者赤,FREQ:194;
一命呜呼,FREQ:194;
逐鹿中原,FREQ:194;
至亲好友,FREQ:194;
排斥异己,FREQ:193;
暴露目标,FREQ:193;
分文未取,FREQ:192;
定国安邦,FREQ:192;
林林总总,FREQ:192;
江山如画,FREQ:192;
甘苦与共,FREQ:192;
久病成医,FREQ:192;
败絮其中,FREQ:192;
承先启后,FREQ:191;
盗亦有道,FREQ:191;
变动不居,FREQ:191;
同声相应,FREQ:191;
凄风苦雨,FREQ:191;
好人难做,FREQ:191;
遗世独立,FREQ:191;
出水芙蓉,FREQ:191;
将功补过,FREQ:190;
言之成理,FREQ:190;
七老八十,FREQ:190;
笔走龙蛇,FREQ:190;
从恶如崩,FREQ:190;
挂免战牌,FREQ:190;
种豆得豆,FREQ:189;
长篇累牍,FREQ:189;
苦乐不均,FREQ:189;
满天星斗,FREQ:189;
心中无数,FREQ:189;
心怀叵测,FREQ:189;
万夫莫开,FREQ:189;
怒气冲天,FREQ:189;
手到病除,FREQ:189;
鹰击长空,FREQ:188;
长江七号,FREQ:188;
民为邦本,FREQ:188;
同声同气,FREQ:188;
红袖添香,FREQ:188;
人财两失,FREQ:188;
不可企及,FREQ:188;
一面之交,FREQ:187;
零打碎敲,FREQ:187;
坐失良机,FREQ:187;
饶有兴味,FREQ:187;
从谏如流,FREQ:187;
铸剑为犁,FREQ:187;
